,GOterms,scores,scores_adj,k,M
3792,GO:0005788,8.607465660758314e-18,3.7691231381894583e-13,16,310
3787,GO:0005783,2.011805903051674e-13,4.404748434436488e-09,25,2009
7750,GO:0012505,2.1538564498416614e-12,3.143840669403884e-08,34,4674
6070,GO:0009100,1.3437935897340902e-11,1.471084437521652e-07,12,334
16422,GO:0034976,8.088923070000207e-11,7.084117046244782e-07,10,219
17312,GO:0035966,1.4260633676848257e-09,1.0407648134591807e-05,8,142
17807,GO:0036503,2.915240654056491e-09,1.823649614292567e-05,7,97
6071,GO:0009101,1.1983535294916347e-08,6.55933783786365e-05,9,269
10892,GO:0019538,5.793973091780416e-08,0.00028190254190663626,26,3874
17313,GO:0035967,1.0799798320641854e-07,0.00047291236866258616,6,97
21832,GO:0046527,1.3133398205194966e-07,0.0005170393996833124,4,20
37309,GO:1901135,1.4169021435063027e-07,0.0005170393996833124,13,921
25027,GO:0051082,4.024892113669794e-07,0.00135573846742682,6,121
9262,GO:0016758,4.617292660028669e-07,0.0014441902020713956,7,202
19194,GO:0043170,9.660173661428655e-07,0.0028200622964019957,30,5804
37708,GO:1901564,1.5228699236108883e-06,0.003704719504722066,27,4866
7050,GO:0010243,1.3710951853271687e-06,0.003704719504722066,12,940
7296,GO:0010498,1.454658278763824e-06,0.003704719504722066,8,348
16674,GO:0035251,2.0415431012080256e-06,0.004705112150463065,3,11
30103,GO:0071712,2.7175221425974613e-06,0.005949878855110012,3,12
