,GOterms,scores,scores_adj,k,M
4075,GO:0005788,5.565506156837672e-18,2.5019732928063756e-13,16,297
4070,GO:0005783,2.424500837290937e-14,5.449671757020703e-10,25,1803
21205,GO:0044432,4.206712791214497e-13,6.303759117634924e-09,21,1302
8119,GO:0012505,3.3365107516610335e-12,3.749821021023044e-08,33,4348
6407,GO:0009100,1.190796700081378e-10,1.0706453130431668e-06,12,397
17059,GO:0034976,2.6118016505038733e-10,1.956892386640027e-06,10,243
18537,GO:0036503,1.172979089476295e-09,7.53303928105812e-06,7,84
4601,GO:0006457,4.731869072525268e-09,2.6590146769421677e-05,9,238
38187,GO:1901135,2.391897260374452e-08,0.00011947526815570386,15,1102
9681,GO:0016758,4.0407643526768475e-08,0.00018165256147458766,8,214
23003,GO:0046527,8.866292639443622e-08,0.0003623492596419891,4,18
18013,GO:0035966,2.097410356106902e-07,0.0007857423546565481,7,177
4636,GO:0006508,2.558333825804563e-07,0.0008846915164541856,15,1320
21098,GO:0044322,3.6202731516165525e-07,0.0011624955680780151,4,25
4640,GO:0006515,4.27095491274815e-07,0.0012800051873506203,4,26
9680,GO:0016757,4.850158999477243e-07,0.0013627431113843716,8,296
7406,GO:0010243,7.615059287780676e-07,0.0020137352369540016,12,875
18014,GO:0035967,8.781939949782173e-07,0.002193289502458098,6,136
6408,GO:0009101,1.177041276350945e-06,0.002784941609387196,8,333
11368,GO:0019538,1.3976181268203015e-06,0.0031414961445603326,26,4445
