,GOterms,scores,scores_adj,k,M
12442,GO:0030010,2.3612201404554853e-07,0.010614865141417634,4,103
5164,GO:0007163,1.5999407374085305e-06,0.03596266792510024,4,166
25538,GO:0050321,2.2521267361003444e-05,0.33748119140463656,2,13
0,GO:0000001,1.0,1.0,0,0
29965,GO:0065008,0.8938946922251068,1.0,1,3594
29966,GO:0065009,0.29042725797017555,1.0,3,3352
29967,GO:0065010,1.0,1.0,0,5
29968,GO:0070001,1.0,1.0,0,28
29969,GO:0070002,1.0,1.0,0,1
29970,GO:0070003,1.0,1.0,0,23
29971,GO:0070004,1.0,1.0,0,4
29972,GO:0070005,1.0,1.0,0,0
29973,GO:0070006,1.0,1.0,0,20
29974,GO:0070007,1.0,1.0,0,0
29975,GO:0070008,1.0,1.0,0,16
29976,GO:0070009,1.0,1.0,0,1
29977,GO:0070010,1.0,1.0,0,0
29978,GO:0070011,1.0,1.0,0,705
29979,GO:0070012,1.0,1.0,0,1
29980,GO:0070013,0.9628030130525117,1.0,1,5038
