,GOterms,scores,scores_adj,k,M
2690,GO:0003723,3.3509407563529768e-15,1.5064154170184805e-10,18,1639
2665,GO:0003676,1.1033794327364033e-10,1.387435319779361e-06,20,4079
16575,GO:0034475,1.2345103501540307e-10,1.387435319779361e-06,4,8
5790,GO:0008312,1.2345103501540307e-10,1.387435319779361e-06,4,8
4026,GO:0005730,3.0931528191738857e-10,2.770314495811394e-06,12,963
16528,GO:0034427,3.6974501111930523e-10,2.770314495811394e-06,4,10
13389,GO:0031125,5.805506689970017e-10,3.7283793321086016e-06,4,11
16572,GO:0034472,1.2557944125005228e-09,5.6454237813961e-06,4,13
130,GO:0000176,1.2557944125005228e-09,5.6454237813961e-06,4,13
131,GO:0000177,1.2557944125005228e-09,5.6454237813961e-06,4,13
30977,GO:0071028,1.7566681808915672e-09,6.580918172665033e-06,4,14
30976,GO:0071027,1.7566681808915672e-09,6.580918172665033e-06,4,14
30974,GO:0071025,3.188697651379064e-09,1.1026761762903525e-05,4,16
9194,GO:0016075,5.3524135924491314e-09,1.7186982360610763e-05,4,18
348,GO:0000459,1.638921245603613e-08,3.5084621236243056e-05,3,5
37065,GO:0140098,1.332001754130547e-08,3.5084621236243056e-05,8,390
356,GO:0000467,1.638921245603613e-08,3.5084621236243056e-05,3,5
16753,GO:0034660,1.1869022976299756e-08,3.5084621236243056e-05,9,564
31000,GO:0071051,1.638921245603613e-08,3.5084621236243056e-05,3,5
9280,GO:0016180,1.5425258931513876e-08,3.5084621236243056e-05,4,23
