,GOterms,scores,scores_adj,k,M
12808,GO:0031090,9.771731089475557e-16,4.278943326770452e-11,27,3640
10435,GO:0019003,1.981034481837628e-15,4.3373759462593946e-11,9,73
2552,GO:0003924,8.691677829303259e-14,1.2686662682245348e-09,12,339
33013,GO:0098588,2.088140449842135e-12,2.285939553953431e-08,20,2110
2553,GO:0003925,4.005533166938995e-11,3.507965836941833e-07,6,40
8737,GO:0016020,1.3336227973774256e-10,9.733001445726683e-07,32,9736
9495,GO:0017111,2.57020997169125e-10,1.6078132064341164e-06,12,672
3617,GO:0005525,3.033748746810458e-10,1.6605602984260392e-06,10,385
10433,GO:0019001,5.203570570831032e-10,2.2785915172612005e-06,10,407
14152,GO:0032561,5.203570570831032e-10,2.2785915172612005e-06,10,407
9307,GO:0016817,7.04150030448976e-10,2.371848129486939e-06,12,734
9308,GO:0016818,7.04150030448976e-10,2.371848129486939e-06,12,734
9039,GO:0016462,6.72066497486382e-10,2.371848129486939e-06,12,731
39868,GO:1903958,3.8356129719942455e-09,1.1996975459332573e-05,3,3
2471,GO:0003824,9.434165773391421e-09,2.754084567006913e-05,25,5678
3804,GO:0005811,1.2345811791358247e-08,3.3788172033236644e-05,6,101
24433,GO:0050421,1.5325594180042482e-08,3.72829135305489e-05,3,4
9189,GO:0016662,1.5325594180042482e-08,3.72829135305489e-05,3,4
33215,GO:0098809,3.827188887308819e-08,8.820461799282415e-05,3,5
9442,GO:0017022,1.0305278824824743e-07,0.00022562892723012535,5,72
