,GOterms,scores,scores_adj,k,M
30530,GO:0070577,1.20625278230231e-05,0.2711354691420017,2,18
37019,GO:0140033,1.20625278230231e-05,0.2711354691420017,2,18
29965,GO:0065008,0.7057885788332539,1.0,1,3594
29966,GO:0065009,1.0,1.0,0,3352
29967,GO:0065010,1.0,1.0,0,5
29968,GO:0070001,1.0,1.0,0,28
29969,GO:0070002,1.0,1.0,0,1
29970,GO:0070003,1.0,1.0,0,23
29971,GO:0070004,1.0,1.0,0,4
29972,GO:0070005,1.0,1.0,0,0
29973,GO:0070006,1.0,1.0,0,20
29974,GO:0070007,1.0,1.0,0,0
29975,GO:0070008,1.0,1.0,0,16
29976,GO:0070009,1.0,1.0,0,1
29977,GO:0070010,1.0,1.0,0,0
29978,GO:0070011,1.0,1.0,0,705
29979,GO:0070012,1.0,1.0,0,1
29980,GO:0070013,0.04226021300257521,1.0,4,5038
29981,GO:0070014,1.0,1.0,0,0
29964,GO:0065007,0.5818885712554764,1.0,4,12045
