,GOterms,scores,scores_adj,k,M
3805,GO:0005813,4.999580129690981e-18,2.1892661429903839e-13,19,623
3807,GO:0005815,9.024861984964979e-16,1.975948407298157e-11,19,826
8403,GO:0015630,1.784345698347815e-15,2.604490459498416e-11,22,1327
3840,GO:0005856,2.092442512088572e-13,2.290649129046162e-09,25,2347
4748,GO:0007017,2.2417110950877964e-12,1.9632457428559903e-08,16,790
142,GO:0000226,3.4093584536340127e-12,2.4882066221029967e-08,14,548
15925,GO:0034453,2.137616459160928e-09,1.2219220590681424e-05,5,26
12745,GO:0031023,2.2323817562732967e-09,1.2219220590681424e-05,7,105
11189,GO:0019899,6.866963931384436e-09,3.3410831510154785e-05,19,2037
7255,GO:0010457,8.552037955503457e-09,3.7448519003354085e-05,4,12
4745,GO:0007010,1.2129667520260436e-08,4.828600100406221e-05,15,1213
4809,GO:0007098,3.4278069498451893e-08,0.00012508353210564252,6,90
24968,GO:0051018,7.341828891664412e-08,0.00024730103487468686,5,51
5245,GO:0008017,9.278754347638394e-08,0.0002902195529490983,8,273
11190,GO:0019900,3.6229001116332583e-07,0.0010576211532553916,11,761
4758,GO:0007030,6.365283941758579e-07,0.001742058865785415,6,147
3806,GO:0005814,7.166946793011104e-07,0.001846079018348019,6,150
19243,GO:0043228,8.896239608635823e-07,0.0019477871811127703,26,5116
19247,GO:0043232,8.896239608635823e-07,0.0019477871811127703,26,5116
3798,GO:0005795,8.049555967625144e-07,0.0019477871811127703,6,153
