,GOterms,scores,scores_adj,k,M
2690,GO:0003723,8.601934391531875e-14,3.866999605713154e-09,14,1639
12840,GO:0030529,1.114471919436758e-10,1.7306032495752423e-06,10,825
43600,GO:1990904,1.1548903901069352e-10,1.7306032495752423e-06,10,828
18498,GO:0036464,4.9964642028345184e-09,5.6154012059606445e-05,6,185
17818,GO:0035770,6.8510569039192905e-09,5.6247898351181224e-05,6,195
2695,GO:0003729,7.507227007164661e-09,5.6247898351181224e-05,6,198
2665,GO:0003676,2.371445666141496e-08,0.00015229762845912992,14,4079
7648,GO:0010494,4.03369102815745e-08,0.0002266682252135227,4,44
3100,GO:0004386,1.214860091952316e-07,0.0006068226159301819,5,155
2854,GO:0004004,2.251808988255266e-07,0.0007678848476926425,4,67
38403,GO:1901363,2.3859409084264906e-07,0.0007678848476926425,15,6000
2691,GO:0003724,2.391366448158602e-07,0.0007678848476926425,4,68
5686,GO:0008186,2.391366448158602e-07,0.0007678848476926425,4,68
4554,GO:0006396,1.8406173004443558e-07,0.0007678848476926425,8,899
34231,GO:0097159,2.888318557449183e-07,0.00086562907166752,15,6079
20071,GO:0043228,4.058401699248089e-07,0.001073208519939399,13,4061
20075,GO:0043232,4.058401699248089e-07,0.001073208519939399,13,4061
30001,GO:0070035,1.088584148676313e-06,0.0025756473896707184,4,99
5574,GO:0008026,1.088584148676313e-06,0.0025756473896707184,4,99
7741,GO:0010608,2.444765162069188e-06,0.005259433933073103,6,528
