,GOterms,scores,scores_adj,k,M
2450,GO:0003723,4.127803646896742e-15,1.8075239389396144e-10,18,1685
16118,GO:0034660,1.5338830450170124e-13,3.358360232912498e-09,12,510
18432,GO:0042254,7.063436104247528e-13,1.0310026785629836e-08,10,293
3743,GO:0005730,1.5655713683680264e-11,1.7138701162366878e-07,13,984
11837,GO:0022613,2.2193427577226562e-11,1.943656000358348e-07,10,415
2427,GO:0003676,5.6150420341993544e-11,3.6266766976532886e-07,20,4000
5463,GO:0008312,5.7975146460465e-11,3.6266766976532886e-07,4,7
8778,GO:0016073,8.566744851367019e-11,4.68911487870638e-07,6,61
4242,GO:0006364,1.2011922185410547e-10,4.78172782342675e-07,8,218
15946,GO:0034475,1.1585656495743254e-10,4.78172782342675e-07,4,8
42496,GO:1990904,1.147907334173813e-10,4.78172782342675e-07,11,677
15941,GO:0034470,3.496606086471835e-10,1.1777914147731934e-06,9,383
8777,GO:0016072,3.349863621804791e-10,1.1777914147731934e-06,8,248
15902,GO:0034427,5.448574877018712e-10,1.704197466355517e-06,4,11
121,GO:0000176,8.166255593918008e-10,2.234951038762973e-06,4,12
12844,GO:0031126,8.166255593918008e-10,2.234951038762973e-06,4,12
122,GO:0000177,1.1786167117232913e-09,2.8672470660917334e-06,4,13
19860,GO:0043928,1.1786167117232913e-09,2.8672470660917334e-06,4,13
19173,GO:0043144,1.6487295074564972e-09,3.799800863263819e-06,4,14
29464,GO:0071028,2.246450026003142e-09,4.684276199459599e-06,4,15
