,GOterms,scores,scores_adj,k,M
4088,GO:0005813,4.004272787294653e-17,1.8001208315283112e-12,17,474
4090,GO:0005815,6.884813170093669e-16,1.5475338803078044e-11,18,676
57,GO:0000086,3.2302189402898496e-15,4.2989997635195505e-11,11,132
21584,GO:0044839,3.825158281409899e-15,4.2989997635195505e-11,11,134
34769,GO:0097711,6.724765717899031e-15,6.046236856963019e-11,10,96
8801,GO:0015630,2.11205992492759e-14,1.5824608987519967e-10,20,1123
7543,GO:0010389,2.342850179041377e-13,1.5046118542686443e-09,11,194
39723,GO:1902749,6.208027749128428e-13,3.488523593275856e-09,11,212
26786,GO:0051640,8.976372954976373e-13,4.483698291010698e-09,15,604
21203,GO:0044430,1.2267083304439468e-12,5.514667299510762e-09,21,1589
37035,GO:0140056,1.395306773315245e-12,5.702365090398803e-09,10,162
12310,GO:0022406,2.39998439429414e-12,8.990941537124422e-09,10,171
21521,GO:0044772,5.276868927453939e-12,1.824781866413014e-08,11,258
26787,GO:0051641,6.446338460834948e-12,2.0699653250488218e-08,23,2182
21519,GO:0044770,7.345108031176868e-12,2.2013288769437072e-08,11,266
39005,GO:1901990,2.6054834476726177e-11,6.893448855216181e-08,12,395
4123,GO:0005856,2.6067985883366717e-11,6.893448855216181e-08,22,2092
162,GO:0000226,3.2872535685905e-11,8.209915787554774e-08,12,403
40008,GO:1903047,4.268745227502803e-11,1.0100075879073079e-07,14,652
39002,GO:1901987,6.416718242256993e-11,1.4423178429033156e-07,12,427
