,GOterms,scores,scores_adj,k,M
4048,GO:0005759,2.995270170511355e-07,0.013465237051533796,8,453
21202,GO:0044429,1.7926348886231716e-06,0.04029395070902734,10,1026
4031,GO:0005739,4.26806531412724e-06,0.06395695873219669,12,1726
5756,GO:0008275,1.372191981325407e-05,0.15421722630120918,2,4
26581,GO:0051415,3.4239112889913436e-05,0.2029850611000244,2,6
35000,GO:0098655,3.396630893435203e-05,0.2029850611000244,7,619
12436,GO:0030001,3.6122355439888674e-05,0.2029850611000244,7,625
551,GO:0000923,3.4239112889913436e-05,0.2029850611000244,2,6
4091,GO:0005816,4.788884906398499e-05,0.23920480107460504,2,7
28012,GO:0055085,6.46531524675393e-05,0.26422567901620264,9,1227
26583,GO:0051418,6.379065039065358e-05,0.26422567901620264,2,8
30789,GO:0070838,7.288205564444874e-05,0.2689343829074475,5,289
32405,GO:0072511,7.776992498713864e-05,0.2689343829074475,5,293
26204,GO:0051011,0.00012494347311885242,0.37756506276795676,2,11
21218,GO:0044446,0.00012598100192457684,0.37756506276795676,24,8896
4678,GO:0006554,0.00014978863051444893,0.42085924279856574,2,12
4677,GO:0006553,0.0001768534683335327,0.44169153716299786,2,13
35007,GO:0098662,0.00016725586947341208,0.44169153716299786,6,552
21195,GO:0044422,0.0002027451775677803,0.47970576092418754,24,9118
15671,GO:0033539,0.0002376164526461964,0.5107606577298822,2,15
