,GOterms,scores,scores_adj,k,M
18813,GO:0042721,3.826599553750206e-13,1.6756296785916777e-08,4,7
4742,GO:0007007,9.596423273472658e-13,2.101088893610471e-08,5,37
20633,GO:0045039,7.809615212095487e-12,1.1399174684081642e-07,4,13
25132,GO:0051204,6.528685873671153e-11,7.147115643054653e-07,4,21
31645,GO:0090151,1.3790216873122013e-10,1.2077196133142797e-06,4,25
4741,GO:0007006,2.548666875241682e-10,1.8600595633326338e-06,5,109
18811,GO:0042719,8.656140044691508e-10,5.41491023452852e-06,3,6
33207,GO:0098800,1.5149980121291284e-09,8.292530994140301e-06,5,155
25133,GO:0051205,3.6999500869150936e-09,1.800190159510278e-05,4,55
4452,GO:0006626,4.283895288203203e-09,1.8758749077513006e-05,4,57
30873,GO:0072655,1.0513536132061392e-08,4.185247578971239e-05,4,71
29044,GO:0070585,1.6236682557880205e-08,5.9249007710584695e-05,4,79
3764,GO:0005758,2.0834136263933164e-08,7.017738406625917e-05,4,84
33205,GO:0098798,3.0604393630025465e-08,9.572398519037036e-05,5,282
13602,GO:0031970,3.287418611861351e-08,9.596851572986447e-05,4,94
4740,GO:0007005,2.2032779552039712e-07,0.0006029958648776668,5,419
4623,GO:0006839,2.4688858649563605e-07,0.000635941430238671,4,155
3752,GO:0005743,4.79210123805448e-07,0.0011657851172953756,5,490
31644,GO:0090150,7.418655910223957e-07,0.0017097659139620888,4,204
11165,GO:0019866,8.567900972433197e-07,0.0018758990784093865,5,551
