,GOterms,scores,scores_adj,k,M
9459,GO:0017056,1.676536966990515e-11,7.341387724754766e-07,5,28
3688,GO:0005643,8.143564443186602e-09,0.00017829927170134906,5,92
3461,GO:0005198,2.197420083724491e-08,0.00032074276015403916,8,694
24975,GO:0051028,3.8246584094088266e-08,0.0003349559341792062,5,125
11948,GO:0030023,3.626908572697738e-08,0.0003349559341792062,3,9
32648,GO:0097493,7.117267967816875e-08,0.0005194300784045553,3,11
25161,GO:0051236,1.197608247705596e-07,0.0005826896395420038,5,157
24656,GO:0050658,1.1233503931623815e-07,0.0005826896395420038,5,155
24655,GO:0050657,1.1233503931623815e-07,0.0005826896395420038,5,155
4268,GO:0006403,2.1163148958651962e-07,0.0009267131297504108,5,176
8665,GO:0015931,5.329292183451883e-07,0.0021214943220106775,5,212
4435,GO:0006606,1.3445292603076977e-06,0.004906299314967815,4,106
25112,GO:0051170,1.5595044638929748e-06,0.005253010843800729,4,110
16962,GO:0035583,3.670558737946572e-06,0.011480721183995887,2,4
9447,GO:0017038,5.9579511755462515e-06,0.017392848268399652,4,154
15974,GO:0034504,9.8806712863449e-06,0.0270415446848598,4,175
20382,GO:0044613,1.2828794214840991e-05,0.031208892770759566,2,7
30085,GO:0071694,1.2828794214840991e-05,0.031208892770759566,2,7
4680,GO:0006913,2.4315735599726825e-05,0.0532380873088219,4,220
25111,GO:0051169,2.4315735599726825e-05,0.0532380873088219,4,220
