,GOterms,scores,scores_adj,k,M
5429,GO:0008275,1.329322664016854e-05,0.2423117916719167,2,4
508,GO:0000923,2.2134489636385092e-05,0.2423117916719167,2,5
4453,GO:0006627,2.2134489636385092e-05,0.2423117916719167,2,5
3748,GO:0005739,1.7189421556473476e-05,0.2423117916719167,11,1662
4384,GO:0006554,4.6394832793192185e-05,0.4063166666362185,2,7
4452,GO:0006626,8.692971214207764e-05,0.47582064562367976,3,57
4383,GO:0006553,7.938414249613311e-05,0.47582064562367976,2,9
3765,GO:0005759,6.804266218111998e-05,0.47582064562367976,6,476
15064,GO:0033539,9.913666143152119e-05,0.4823439186027646,2,10
16428,GO:0034982,0.00012105284936603075,0.530078322088912,2,11
30873,GO:0072655,0.000167392454566207,0.6663589266363309,3,71
24961,GO:0051011,0.00023023119161566107,0.6744653635450953,2,15
29044,GO:0070585,0.00022971751276474925,0.6744653635450953,3,79
15704,GO:0034220,0.00023103931245692822,0.6744653635450953,7,854
31651,GO:0090158,0.00019972184585388133,0.6744653635450953,2,14
509,GO:0000930,0.00026287351035563037,0.7194355090601686,2,16
6042,GO:0009068,0.0003345326735319598,0.7283134450369034,2,18
21706,GO:0046395,0.0003240878319491252,0.7283134450369034,4,220
8763,GO:0016054,0.0003470186318634536,0.7283134450369034,4,224
33075,GO:0098655,0.0003555488092106958,0.7283134450369034,6,645
