,GOterms,scores,scores_adj,k,M
3694,GO:0005658,2.7342799336311653e-14,1.197313840137751e-09,4,5
4177,GO:0006269,8.20184517904399e-14,1.7957529927257864e-09,4,6
19568,GO:0043601,3.9062285981985234e-12,5.7016614695505056e-08,4,13
12631,GO:0030894,7.455536589370596e-12,8.161762292798726e-08,4,15
18683,GO:0042575,2.1160176296651912e-11,1.8531659197081812e-07,4,19
19563,GO:0043596,1.116567909099839e-10,8.101350286956067e-07,4,28
4178,GO:0006270,1.2950615910089857e-10,8.101350286956067e-07,4,29
3693,GO:0005657,2.6489178046472034e-09,1.4499182718462049e-05,4,60
26304,GO:0055029,3.0040988178239754e-08,0.0001364938850148483,4,109
299,GO:0000428,3.117081573336872e-08,0.0001364938850148483,4,110
12617,GO:0030880,3.4751613257787084e-08,0.0001383398539041126,4,113
4171,GO:0006261,6.309938545722716e-08,0.00023025491581554338,4,131
14550,GO:0032993,2.5825659893110963e-07,0.0008699075546611045,4,186
4170,GO:0006260,3.2514207490546246e-07,0.001016974737002521,4,197
144,GO:0000228,3.8885204838490417e-07,0.0011351628231151046,4,206
27998,GO:0061695,1.0802824688728602e-06,0.002956530564342105,4,266
14356,GO:0032774,5.367591990235708e-06,0.01382596974473126,4,398
4169,GO:0006259,5.294147625181307e-05,0.1287919057550357,4,711
16112,GO:0034654,5.7765801002536645e-05,0.13313192947895144,4,727
35943,GO:0140535,6.837848296701846e-05,0.14971126953213856,4,759
