,GOterms,scores,scores_adj,k,M
16167,GO:0034058,6.6261925761896045e-06,0.29788048726260363,2,10
13176,GO:0030897,1.3388632325843502e-05,0.3009429831041473,2,14
0,GO:0000001,1.0,1.0,0,0
29967,GO:0065010,1.0,1.0,0,5
29968,GO:0070001,1.0,1.0,0,28
29969,GO:0070002,1.0,1.0,0,1
29970,GO:0070003,1.0,1.0,0,23
29971,GO:0070004,1.0,1.0,0,4
29972,GO:0070005,1.0,1.0,0,0
29973,GO:0070006,1.0,1.0,0,20
29974,GO:0070007,1.0,1.0,0,0
29975,GO:0070008,1.0,1.0,0,16
29976,GO:0070009,1.0,1.0,0,1
29977,GO:0070010,1.0,1.0,0,0
29978,GO:0070011,1.0,1.0,0,705
29979,GO:0070012,1.0,1.0,0,1
29980,GO:0070013,0.6538934654181539,1.0,2,5038
29981,GO:0070014,1.0,1.0,0,0
29982,GO:0070016,1.0,1.0,0,10
29983,GO:0070017,1.0,1.0,0,0
