,GOterms,scores,scores_adj,k,M
12758,GO:0030397,1.269752753737147e-12,1.9027245014751146e-08,6,48
5102,GO:0007077,7.317000679703942e-13,1.9027245014751146e-08,6,44
26272,GO:0051081,1.269752753737147e-12,1.9027245014751146e-08,6,48
31376,GO:0071431,4.3723131451977545e-11,3.58434699846715e-07,5,33
5037,GO:0006998,4.783913244534068e-11,3.58434699846715e-07,6,86
4567,GO:0006409,4.3723131451977545e-11,3.58434699846715e-07,5,33
26224,GO:0051031,5.974888511435881e-11,3.8371587575942863e-07,5,35
12315,GO:0022411,4.915395932307164e-10,2.762145301710857e-06,8,421
33015,GO:0075733,6.342640321356127e-10,3.1681488405173854e-06,5,55
23227,GO:0046794,8.342522903332483e-10,3.7503811711931173e-06,5,58
5036,GO:0006997,1.2517841784978582e-09,5.115814340397383e-06,6,147
20457,GO:0043657,2.0355780889550286e-09,6.536386642069522e-06,5,69
10887,GO:0018995,2.0355780889550286e-09,6.536386642069522e-06,5,69
4343,GO:0006110,1.750894075662109e-09,6.536386642069522e-06,5,67
21516,GO:0044766,2.3560106716212735e-09,6.619653733920897e-06,5,71
39566,GO:1902579,2.3560106716212735e-09,6.619653733920897e-06,5,71
20994,GO:0044215,3.117277396232401e-09,6.6732002546489325e-06,5,75
20995,GO:0044216,3.117277396232401e-09,6.6732002546489325e-06,5,75
20996,GO:0044217,3.117277396232401e-09,6.6732002546489325e-06,5,75
9884,GO:0017056,2.658558633599808e-09,6.6732002546489325e-06,4,23
