,GOterms,scores,scores_adj,k,M
3973,GO:0005658,8.739900224453801e-14,3.929022145903206e-09,4,6
14391,GO:0032201,7.353409268412274e-11,1.6528625683073688e-06,4,25
20401,GO:0043601,1.8276988503666867e-10,2.551480803129537e-06,4,31
13173,GO:0030894,2.376322653306953e-10,2.551480803129537e-06,4,33
4466,GO:0006269,2.837816486630561e-10,2.551480803129537e-06,3,5
4467,GO:0006270,3.8334999718031513e-10,2.872249853873511e-06,4,37
15396,GO:0033260,4.77297943259036e-10,2.979761425009096e-06,4,39
21535,GO:0044786,5.302656300761377e-10,2.979761425009096e-06,4,40
20396,GO:0043596,1.0340209994558283e-09,5.164934892281862e-06,4,47
3972,GO:0005657,5.945742168856752e-09,2.6729083920095527e-05,4,72
416,GO:0000723,1.473454330364756e-08,6.021739947413418e-05,4,90
14390,GO:0032200,1.6830455742324536e-08,6.305109482468329e-05,4,93
53,GO:0000082,4.719403311783537e-08,0.0001462579916647006,4,120
4460,GO:0006261,4.5626543867170235e-08,0.0001462579916647006,4,119
21588,GO:0044843,4.880146535358713e-08,0.0001462579916647006,4,121
320,GO:0000428,7.364447222058162e-08,0.00019474630874566156,4,134
27960,GO:0055029,7.145497527597513e-08,0.00019474630874566156,4,133
13159,GO:0030880,7.817359194905544e-08,0.00019523854589276594,4,136
2772,GO:0003887,1.0331112989167465e-07,0.00024031896564725495,3,29
9698,GO:0016779,1.0691534452107883e-07,0.00024031896564725495,4,147
