,GOterms,scores,scores_adj,k,M
2450,GO:0003723,1.014031499080602e-13,4.440342531324048e-09,14,1685
42496,GO:1990904,1.3618491818251602e-11,2.981700691147097e-07,10,677
7292,GO:0010494,2.788454003396464e-11,4.070120411824259e-07,6,80
17768,GO:0036464,4.008055242962874e-10,4.3877182758525326e-06,7,243
17140,GO:0035770,6.601861635197011e-10,5.781778382872839e-06,7,261
2451,GO:0003724,3.294694529320238e-09,2.3487998992162814e-05,5,77
5360,GO:0008186,3.754732762683315e-09,2.3487998992162814e-05,5,79
2427,GO:0003676,1.4675470174558384e-08,8.032802043421714e-05,14,4000
2455,GO:0003729,1.0631107321553586e-07,0.00047625759039846607,6,314
19462,GO:0043488,1.0876192431854256e-07,0.00047625759039846607,5,154
2855,GO:0004386,1.197608247705596e-07,0.00047674606871618493,5,157
19461,GO:0043487,1.5814886267140294e-07,0.0005770983789598386,5,166
37517,GO:1901363,1.715651736030391e-07,0.0005778974913002676,15,5960
27363,GO:0061013,1.887487270275169e-07,0.0005903655719862813,5,172
32337,GO:0097159,2.0698491379745778e-07,0.0006042441593517918,15,6037
7265,GO:0010467,4.40805686216435e-07,0.001206402512108217,10,1978
28283,GO:0062029,6.123370515612749e-07,0.001577272185342157,2,2
14548,GO:0032991,1.3191065832701013e-06,0.0032090198986008036,14,5590
7385,GO:0010608,1.4631074530792218e-06,0.003372000645415055,6,491
4261,GO:0006396,1.98944755432857e-06,0.004355795947824688,7,841
