,GOterms,scores,scores_adj,k,M
12808,GO:0031090,1.2975131848893027e-06,0.05681680485311767,8,3640
15545,GO:0034058,3.995754172311084e-06,0.058323359817110024,2,8
12634,GO:0030897,3.995754172311084e-06,0.058323359817110024,2,8
7750,GO:0012505,9.606171310870804e-06,0.10516115888293041,8,4674
0,GO:0000001,1.0,1.0,0,0
29189,GO:0070736,1.0,1.0,0,2
29190,GO:0070737,1.0,1.0,0,0
29191,GO:0070738,1.0,1.0,0,0
29192,GO:0070739,1.0,1.0,0,10
29193,GO:0070740,1.0,1.0,0,10
29194,GO:0070741,1.0,1.0,0,33
29196,GO:0070743,1.0,1.0,0,2
29197,GO:0070744,1.0,1.0,0,0
29198,GO:0070745,1.0,1.0,0,0
29199,GO:0070746,1.0,1.0,0,0
29200,GO:0070747,1.0,1.0,0,0
29201,GO:0070748,1.0,1.0,0,0
29202,GO:0070753,1.0,1.0,0,0
29203,GO:0070754,1.0,1.0,0,0
29204,GO:0070755,1.0,1.0,0,0
