,GOterms,scores,scores_adj,k,M
19609,GO:0042721,1.7478364714237e-13,7.857398857285244e-09,4,6
19607,GO:0042719,4.540156753885225e-10,1.0205137343545514e-05,3,5
5043,GO:0007007,1.0589635790390774e-09,1.190142692392543e-05,4,40
35138,GO:0098800,8.46992897034383e-10,1.190142692392543e-05,5,136
21656,GO:0045039,1.5884431713390958e-09,1.428169255350981e-05,3,7
35136,GO:0098798,1.9245524705936816e-09,1.4419709385923159e-05,5,160
4748,GO:0006626,3.942166868128072e-09,2.5317158793813922e-05,4,55
32545,GO:0072655,9.393144838337006e-09,4.484213214927024e-05,4,68
21227,GO:0044455,8.312474665556184e-09,4.484213214927024e-05,5,214
33499,GO:0090151,9.974893148541929e-09,4.484213214927024e-05,3,12
30538,GO:0070585,1.3258255023887994e-08,5.41840776908077e-05,4,74
4047,GO:0005758,1.642536504151551e-08,6.153352378677748e-05,4,78
14170,GO:0031970,2.4420653691179066e-08,8.444849897591961e-05,4,86
5042,GO:0007006,1.0720962300437855e-07,0.0003442577572972741,4,124
5041,GO:0007005,2.774097676888037e-07,0.0008313970737633446,5,432
4035,GO:0005743,5.672304214753232e-07,0.0015937402248389471,5,499
4922,GO:0006839,1.0112372420544241e-06,0.002493318401015953,4,217
11642,GO:0019866,9.862660499130098e-07,0.002493318401015953,5,558
43281,GO:1990542,1.0537882242087223e-06,0.002493318401015953,3,53
14167,GO:0031967,1.1728547824328992e-06,0.0025107469878224275,6,1171
