,GOterms,scores,scores_adj,k,M
13140,GO:0031462,1.6684749166439882e-13,7.3060848124923595e-09,5,23
13144,GO:0031466,3.633512789091792e-09,7.955394576077024e-05,3,8
13139,GO:0031461,6.421091590543052e-09,9.372439321942992e-05,5,176
104,GO:0000151,9.576716809007853e-08,0.0010483871308741121,5,302
12628,GO:0030891,5.509734304819024e-07,0.004825315109474405,2,3
20102,GO:0044257,4.084469941041931e-06,0.02980914237471419,5,645
28910,GO:0070449,5.1363600750316525e-06,0.032130867332223007,2,8
12057,GO:0030163,6.098599347204156e-06,0.03338144585184035,5,700
14038,GO:0032436,8.258416328177983e-06,0.03966059735311451,3,93
35943,GO:0140535,9.057205543199092e-06,0.03966059735311451,5,759
41940,GO:1990234,1.1922320374151276e-05,0.04746058971488275,5,803
37925,GO:1901800,1.604606289720568e-05,0.04866292354718815,3,116
20107,GO:0044265,1.4675308006844614e-05,0.04866292354718815,5,838
42614,GO:2000060,1.3681849896950763e-05,0.04866292354718815,3,110
106,GO:0000153,1.666957119842477e-05,0.04866292354718815,2,14
6031,GO:0009057,2.4467824894428197e-05,0.06510769180290205,5,931
39054,GO:1903052,2.5276456659191455e-05,0.06510769180290205,3,135
14036,GO:0032434,2.6994005674344945e-05,0.0656689174707717,3,138
39324,GO:1903364,4.04415808370816e-05,0.09320507280394559,3,158
37709,GO:1901565,4.5828761361280386e-05,0.10033978156245535,5,1060
