,GOterms,scores,scores_adj,k,M
24336,GO:0050321,1.9536907425860137e-07,0.008555016392709894,3,22
23327,GO:0048156,1.5556755405064107e-06,0.03406073812161761,3,43
4734,GO:0006996,6.22800909425014e-05,0.9090609674270645,8,3313
29190,GO:0070737,1.0,1.0,0,0
29191,GO:0070738,1.0,1.0,0,0
29192,GO:0070739,1.0,1.0,0,10
29193,GO:0070740,1.0,1.0,0,10
29194,GO:0070741,1.0,1.0,0,33
29195,GO:0070742,1.0,1.0,0,15
29196,GO:0070743,1.0,1.0,0,2
0,GO:0000001,1.0,1.0,0,0
29197,GO:0070744,1.0,1.0,0,0
29198,GO:0070745,1.0,1.0,0,0
29199,GO:0070746,1.0,1.0,0,0
29200,GO:0070747,1.0,1.0,0,0
29201,GO:0070748,1.0,1.0,0,0
29202,GO:0070753,1.0,1.0,0,0
29203,GO:0070754,1.0,1.0,0,0
29189,GO:0070736,1.0,1.0,0,2
29188,GO:0070735,1.0,1.0,0,3
