,GOterms,scores,scores_adj,k,M
0,GO:0000001,1.0,1.0,0,0
29187,GO:0070734,1.0,1.0,0,9
29188,GO:0070735,1.0,1.0,0,3
29189,GO:0070736,1.0,1.0,0,2
29190,GO:0070737,1.0,1.0,0,0
29191,GO:0070738,1.0,1.0,0,0
29192,GO:0070739,1.0,1.0,0,10
29193,GO:0070740,1.0,1.0,0,10
29194,GO:0070741,1.0,1.0,0,33
29195,GO:0070742,1.0,1.0,0,15
29196,GO:0070743,1.0,1.0,0,2
29197,GO:0070744,1.0,1.0,0,0
29198,GO:0070745,1.0,1.0,0,0
29199,GO:0070746,1.0,1.0,0,0
29200,GO:0070747,1.0,1.0,0,0
29201,GO:0070748,1.0,1.0,0,0
29202,GO:0070753,1.0,1.0,0,0
29203,GO:0070754,1.0,1.0,0,0
29186,GO:0070733,1.0,1.0,0,2
29204,GO:0070755,1.0,1.0,0,0
