,GOterms,scores,scores_adj,k,M
7419,GO:0010257,2.488287707905123e-08,0.00037286991302958267,5,64
34103,GO:0097031,2.488287707905123e-08,0.00037286991302958267,5,64
15130,GO:0032981,2.488287707905123e-08,0.00037286991302958267,5,64
9150,GO:0016020,9.040924860212633e-08,0.0009471399226208399,26,9430
21198,GO:0044425,1.2223023191289259e-07,0.0009471399226208399,23,6855
9151,GO:0016021,1.2641173475086286e-07,0.0009471399226208399,21,5495
15255,GO:0033108,1.935528284177149e-07,0.001121166179235995,5,96
13463,GO:0031224,1.9951794981399088e-07,0.001121166179235995,21,5630
14182,GO:0031984,5.769381183639474e-07,0.0025990391264774037,12,1625
35165,GO:0098827,6.359566319931363e-07,0.0025990391264774037,10,1036
4076,GO:0005789,6.137490887475642e-07,0.0025990391264774037,10,1032
19136,GO:0042175,7.384278191952219e-07,0.0027663352176601,10,1053
21205,GO:0044432,5.054694310178944e-06,0.017479521747238033,10,1302
11642,GO:0019866,8.20257289985432e-06,0.024583110980863396,7,558
13354,GO:0031090,7.782199101086788e-06,0.024583110980863396,14,2911
4634,GO:0006506,1.1455649226709349e-05,0.03218679443666992,3,32
4633,GO:0006505,1.2589579167675252e-05,0.03314432399250086,3,33
4070,GO:0005783,1.3271000597597943e-05,0.03314432399250086,11,1803
14167,GO:0031967,1.731654972170385e-05,0.037683777808785984,9,1171
2792,GO:0003923,1.8441621883957106e-05,0.037683777808785984,2,5
