,GOterms,scores,scores_adj,k,M
12808,GO:0031090,1.9304813617606448e-12,8.453384835013687e-08,22,3640
8738,GO:0016021,7.039518834574136e-10,1.5412674512358342e-05,23,5469
12917,GO:0031224,1.3472057105991408e-09,1.9664263620475262e-05,23,5636
18374,GO:0042175,1.5738990526284166e-07,0.0009845637945077963,11,1169
3793,GO:0005789,1.2979374484874525e-07,0.0009845637945077963,11,1147
33232,GO:0098827,1.344641657088357e-07,0.0009845637945077963,11,1151
8737,GO:0016020,1.353977839717216e-07,0.0009845637945077963,26,9736
12987,GO:0031301,6.10514038044103e-07,0.003341724901489153,7,383
7063,GO:0010257,1.106534105194053e-06,0.004404911084758399,4,58
14538,GO:0032981,1.106534105194053e-06,0.004404911084758399,4,58
12986,GO:0031300,1.0116730687816919e-06,0.004404911084758399,7,413
13614,GO:0031984,1.6031469669757975e-06,0.0058500168780752666,11,1474
12070,GO:0030176,2.5560356415808196e-06,0.008609711131475578,5,164
12920,GO:0031227,3.2286125385943917e-06,0.010098408175179272,5,172
3787,GO:0005783,4.670146483627921e-06,0.013633402958105537,12,2009
11165,GO:0019866,6.811586459498266e-06,0.018642034967185597,7,551
14663,GO:0033108,7.691445850508336e-06,0.019811807196935854,4,94
4340,GO:0006506,9.91172248102181e-06,0.024112467540081336,3,31
4339,GO:0006505,1.0927133502261628e-05,0.0251835920489755,3,32
18854,GO:0042765,1.7865661301375357e-05,0.03911597213629628,2,5
