,GOterms,scores,scores_adj,k,M
12523,GO:0030122,4.104034720539896e-06,0.030746322869919053,2,13
18064,GO:0036020,4.787548884204947e-06,0.030746322869919053,2,14
35088,GO:0098748,2.8944649746095992e-06,0.030746322869919053,2,11
17664,GO:0035615,2.8944649746095992e-06,0.030746322869919053,2,11
14967,GO:0032802,2.368441782087844e-06,0.030746322869919053,2,10
14964,GO:0032799,2.8944649746095992e-06,0.030746322869919053,2,11
12529,GO:0030128,4.787548884204947e-06,0.030746322869919053,2,14
12533,GO:0030132,8.046089712995102e-06,0.045213995380961845,2,18
18063,GO:0036019,9.989824052153949e-06,0.04989917114050897,2,20
12526,GO:0030125,1.5765308337208358e-05,0.06397594697919995,2,25
16484,GO:0034383,1.4505573483840292e-05,0.06397594697919995,2,24
14966,GO:0032801,1.7077329857644297e-05,0.06397594697919995,2,26
12532,GO:0030131,2.2847959423649725e-05,0.07336642970644096,2,30
25892,GO:0050690,2.132695282191712e-05,0.07336642970644096,2,29
16482,GO:0034381,4.092668545655409e-05,0.1226572763132926,2,40
12520,GO:0030119,5.427309035281584e-05,0.14988367874911668,2,46
32473,GO:0072583,5.667940248548512e-05,0.14988367874911668,2,47
12956,GO:0030669,6.682380693120285e-05,0.1502032120296112,2,51
12519,GO:0030118,6.164780573434254e-05,0.1502032120296112,2,49
12521,GO:0030120,6.682380693120285e-05,0.1502032120296112,2,51
